종목코드;종목명;시장구분;전일종가;등락폭;등락대비;시작가;고가;저가;거래량;거래액;시가총액;주식발행량;
212560;네오오토;KOSDAQ;9,040;80;-0.88;9,120;9,180;8,930;99,979;900,117,520;71,189,665,520;7,874,963;
095660;네오위즈;KOSDAQ;35,500;0;0.00;36,100;38,500;34,450;3,839,997;138,741,392,300;782,197,024,500;22,033,719;
042420;네오위즈홀딩스;KOSDAQ;31,950;100;+0.31;31,650;33,150;31,500;216,501;6,948,299,050;282,976,868,700;8,856,866;
950220;네오이뮨텍(Reg.S);KOSDAQ;10,300;150;-1.44;10,400;10,450;10,200;441,205;4,546,458,650;1,013,437,703,000;98,392,010;
311390;네오크레마;KOSDAQ;12,250;200;+1.66;12,250;12,450;12,050;111,518;1,369,232,400;89,620,938,750;7,315,995;
085910;네오티스;KOSDAQ;5,050;80;-1.56;5,130;5,130;5,000;93,951;474,068,760;64,545,357,950;12,781,259;
092730;네오팜;KOSDAQ;31,900;450;-1.39;32,400;32,550;31,600;35,458;1,130,053,150;261,814,815,900;8,207,361;
290660;네오펙트;KOSDAQ;3,840;140;-3.52;3,980;4,025;3,825;262,783;1,016,461,725;72,600,115,200;18,906,280;
306620;네온테크;KOSDAQ;3,155;75;-2.32;3,225;3,350;3,150;171,106;542,841,720;124,549,360,790;39,476,818;
153460;네이블;KOSDAQ;8,830;1,090;-10.99;9,820;9,900;8,800;577,740;5,349,183,310;57,660,023,620;6,530,014;
007390;네이처셀;KOSDAQ;27,800;350;-1.24;28,200;29,300;27,600;1,460,921;41,303,986,600;1,707,099,449,000;61,406,455;
086220;네추럴FNP;KONEX;2,295;95;-3.97;2,395;2,395;2,150;2,540;5,495,370;24,267,020,175;10,573,865;
033640;네패스;KOSDAQ;39,000;1,000;-2.50;40,450;40,500;38,850;315,998;12,410,939,850;899,308,878,000;23,059,202;
330860;네패스아크;KOSDAQ;52,500;1,700;-3.14;54,400;56,000;51,600;298,344;15,801,049,600;639,662,362,500;12,184,045;
005720;넥센;KOSPI;5,040;10;-0.20;5,030;5,100;5,000;42,658;214,273,320;269,861,644,080;53,543,977;
